,Reseñas,Target,Texto procesado
0,abundar,1,abund
1,accesible,1,acces
2,aclamaciÃ³n,1,aclamaciã³n
3,aclamado,1,aclam
4,espaldarazo,1,espaldaraz
5,elogios,1,elogi
6,cÃ³modo,1,cã³mod
7,complaciente,1,complacient
8,realizar,1,realiz
9,consumado,1,consum
10,logro,1,logr
11,preciso,1,precis
12,alcanzable,1,alcanz
13,perspicacia,1,perspicaci
14,adaptable,1,adapt
15,adecuado,1,adecu
16,ajustable,1,ajust
17,admirable,1,admir
18,admiraciÃ³n,1,admiraciã³n
19,adorable,1,ador
20,cariÃ±oso,1,cariã±
21,con,1,con
22,adoraciÃ³n,1,adoraciã³n
23,hÃ¡bil,1,hã¡bil
24,hÃ¡bilmente,1,hã¡bilment
25,adular,1,adul
26,adulaciÃ³n,1,adulaciã³n
27,avanzado,1,avanz
28,ventaja,1,ventaj
29,aventurero,1,aventurer
30,abogado,1,abog
31,defendiÃ³,1,defendiã³
32,defensores,1,defensor
33,afabilidad,1,afabil
34,afable,1,afabl
35,afectaciÃ³n,1,afectaciã³n
36,afecto,1,afect
37,afinidad,1,afin
38,afirmar,1,afirm
39,afirmaciÃ³n,1,afirmaciã³n
40,afluencia,1,afluenci
41,afluente,1,afluent
42,permitirse,1,permit
43,asequible,1,asequ
44,Ã¡gil,1,ã¡gil
45,Ã¡gilmente,1,ã¡gilment
46,agilidad,1,agil
47,agradable,1,agrad
48,amabilidad,1,amabil
49,todo,1,tod
50,al,1,al
51,rededor,1,rededor
52,seductor,1,seductor
53,altruista,1,altruist
54,asombro,1,asombr
55,sorprende,1,sorprend
56,ambicioso,1,ambici
57,mejorar,1,mejor
58,dÃ³cil,1,dã³cil
59,amenidad,1,amen
60,amable,1,amabl
61,amistoso,1,amist
62,amigablemente,1,amig
63,amplio,1,ampli
64,entretener,1,entreten
65,divertido,1,divert
66,graciosamente,1,graci
67,Ã¡ngel,1,ã¡ngel
68,angelical,1,angelical
69,apoteosis,1,apoteosis
70,apelaciÃ³n,1,apelaciã³n
71,atractivo,1,atract
72,aplaudir,1,aplaud
73,apreciable,1,apreci
74,agradecido,1,agradec
75,apropiado,1,apropi
76,aprobaciÃ³n,1,aprobaciã³n
77,aprobar,1,aprob
78,ardiente,1,ardient
79,ardor,1,ardor
80,articular,1,articul
81,aspiraciÃ³n,1,aspiraciã³n
82,aspiraciones,1,aspir
83,garantÃ­a,1,garantã­
84,asegurar,1,asegur
85,ciertamente,1,ciert
86,pasmosamente,1,pasm
87,astutamente,1,astut
88,atento,1,atent
89,atracciÃ³n,1,atracciã³n
90,armonizar,1,armoniz
91,audible,1,audibl
92,de,1,de
93,modo,1,mod
94,propicio,1,propici
95,autÃ©ntico,1,autã©ntic
96,autoritario,1,autoritari
97,autÃ³nomo,1,autã³nom
98,disponible,1,dispon
99,Ã¡vido,1,ã¡vid
100,premio,1,premi
101,galardonado,1,galardon
102,temor,1,temor
103,increÃ­ble,1,increã­bl
104,genialidad,1,genial
105,atemorizado,1,atemoriz
106,impresionante,1,impresion
107,columna,1,column
108,vertebral,1,vertebral
109,equilibrado,1,equilibr
110,negociar,1,negoci
111,hermoso,1,hermos
112,hermosamente,1,herm
113,embellecer,1,embellec
114,belleza,1,bellez
115,llamar,1,llam
116,creÃ­ble,1,creã­bl
117,amado,1,amad
118,benefactor,1,benefactor
119,benÃ©fico,1,benã©fic
120,beneficioso,1,benefici
121,beneficiario,1,beneficiari
122,benevolencia,1,benevolent
123,mas,1,mas
124,conocido,1,conoc
125,desempeÃ±o,1,desempeã±
126,mÃ¡s,1,mã¡s
127,vendido,1,vend
128,lo,1,lo
129,esperado,1,esper
130,inocente,1,inocent
131,bendecir,1,bendec
132,bendiciÃ³n,1,bendiciã³n
133,felicidad,1,felic
134,feliz,1,feliz
135,alegre,1,alegr
136,Ã©xito,1,ã©xit
137,taquilla,1,taquill
138,florecer,1,florec
139,flor,1,flor
140,reforzar,1,reforz
141,prima,1,prim
142,bonificaciones,1,bonif
143,auge,1,aug
144,en,1,en
145,aumentar,1,aument
146,sin,1,sin
147,lÃ­mites,1,lã­mit
148,inteligente,1,inteligent
149,Para,1,par
150,estrenar,1,estren
151,valiente,1,valient
152,valentÃ­a,1,valentã­
153,Bravo,1,brav
154,penetraciÃ³n,1,penetraciã³n
155,avances,1,avanc
156,falta,1,falt
157,aliento,1,alient
158,brisa,1,bris
159,brillante,1,brillant
160,aclarar,1,aclar
161,brillantez,1,brillantez
162,enÃ©rgico,1,enã©rgic
163,fraternal,1,fraternal
164,alcista,1,alcist
165,boyante,1,boyant
166,engatusar,1,engatus
167,calma,1,calm
168,calmante,1,calmant
169,capacidad,1,capac
170,capaz,1,capaz
171,dote,1,dot
172,cautivar,1,cautiv
173,despreocupado,1,despreocup
174,devoluciÃ³n,1,devoluciã³n
175,dinero,1,diner
176,reembolsos,1,reembols
177,pegadizo,1,pegadiz
178,celebrar,1,celebr
179,celebraciÃ³n,1,celebraciã³n
180,morder,1,mord
181,campeÃ³n,1,campeã³n
182,carisma,1,carism
183,carismÃ¡tico,1,carismã¡t
184,Caritativo,1,carit
185,encanto,1,encant
186,encantadoramente,1,encantador
187,casto,1,cast
188,barato,1,barat
189,animar,1,anim
190,querido,1,quer
191,querubÃ­n,1,querubã­n
192,elegante,1,eleg
193,caballerosidad,1,caballer
194,caballerÃ­a,1,caballerã­
195,civilidad,1,civil
196,civilizar,1,civiliz
197,claridad,1,clarid
198,clÃ¡sico,1,clã¡sic
199,buen,1,buen
200,tono,1,ton
201,limpiar,1,limpi
202,limpiador,1,limpiador
203,limpieza,1,limpiez
204,claro,1,clar
205,bien,1,bien
206,definido,1,defin
207,despejado,1,despej
208,adherirse,1,adher
209,coherencia,1,coherent
210,cohesivo,1,cohes
211,vistoso,1,vistos
212,gentil,1,gentil
213,comodidad,1,comod
214,consolador,1,consol
215,confortable,1,confort
216,recomendable,1,recomend
217,encomiablemente,1,encomi
218,compromiso,1,compromis
219,grande,1,grand
220,compacto,1,compact
221,compasiÃ³n,1,compasiã³n
222,compasivo,1,compas
223,compatible,1,compat
224,competitivo,1,competit
225,complemento,1,complement
226,complementario,1,complementari
227,obediente,1,obedient
228,cumplido,1,cumpl
229,exhaustivo,1,exhaust
230,conciliar,1,concili
231,conciso,1,concis
232,confianza,1,confianz
233,confidente,1,confident
234,felicitar,1,felicit
235,congratulatorio,1,congratulatori
236,concienzudo,1,concienzud
237,considerado,1,consider
238,consistente,1,consistent
239,consecuentemente,1,consecuent
240,constructivo,1,construct
241,contentamiento,1,content
242,continuidad,1,continu
243,contrastado,1,contrast
244,contribuciÃ³n,1,contribuciã³n
245,conveniencia,1,convenient
246,Convincente,1,convincent
247,frio,1,fri
248,guay,1,guay
249,cooperativa,1,cooper
250,piedra,1,piedr
251,angular,1,angul
252,correcto,1,correct
253,econÃ³mico,1,econã³m
254,ahorro,1,ahorr
255,costes,1,cost
256,contraataque,1,contraataqu
257,valor,1,valor
258,cortÃ©s,1,cortã©s
259,pacto,1,pact
260,acogedor,1,acogedor
261,creativo,1,creativ
